timestep,start_lane,end_lane
35:25:00,11,18
35:25:00,22,7
35:26:00,10,19
35:28:00,21,8
35:28:00,11,18
35:30:00,15,8
35:35:00,4,14
35:35:00,22,7
35:35:00,21,8
35:37:00,6,7
35:39:00,6,7
35:40:00,10,19
35:42:00,11,18
35:43:00,15,8
35:46:00,6,7
35:47:00,3,18
35:50:00,6,7
35:50:00,4,14
35:52:00,22,7
35:52:00,21,8
35:52:00,10,19
35:53:00,11,18
35:57:00,17,18
35:59:00,16,2
36:00:00,15,8
36:04:00,20,14
36:05:00,6,7
36:05:00,4,14
36:05:00,5,13
36:09:00,12,13
36:11:00,17,1
36:13:00,22,7
36:13:00,21,8
36:13:00,16,2
36:13:00,17,18
36:15:00,11,18
36:16:00,10,19
36:18:00,22,7
36:18:00,21,8
36:20:00,12,13
36:22:00,17,18
36:22:00,15,8
36:26:00,5,13
36:27:00,12,13
36:29:00,10,19
36:32:00,11,18
36:34:00,15,8
36:36:00,17,1
36:41:00,22,7
36:43:00,21,8
36:48:00,12,13
36:49:00,6,7
36:50:00,4,14
36:50:00,11,18
36:51:00,10,19
36:52:00,9,2
36:53:00,17,1
36:53:00,15,8
36:55:00,16,2
36:59:00,22,7
37:01:00,22,1
37:01:00,21,8
37:02:00,11,18
37:04:00,10,19
37:04:00,9,1
37:05:00,21,8
37:12:00,11,18
37:12:00,10,19
37:14:00,3,18
37:17:00,15,8
37:21:00,10,19
37:23:00,11,18
37:23:00,22,7
37:23:00,21,8
37:24:00,17,18
37:27:00,6,7
37:27:00,4,14
37:27:00,15,8
37:29:00,3,18
37:33:00,11,18
37:33:00,10,19
37:33:00,22,7
37:33:00,21,8
37:38:00,4,14
37:38:00,17,1
37:38:00,15,8
37:39:00,16,2
37:41:00,22,7
37:41:00,21,8
37:44:00,11,18
37:44:00,10,19
37:51:00,20,14
37:52:00,16,2
37:56:00,5,13
37:56:00,12,13
37:56:00,4,14
37:57:00,11,18
37:57:00,10,19
38:00:00,22,7
38:00:00,21,8
38:04:00,17,1
38:04:00,15,8
38:04:00,12,13
38:05:00,16,2
38:07:00,11,18
38:07:00,3,18
38:08:00,4,14
38:13:00,15,8
38:14:00,21,8
38:15:00,17,1
38:18:00,22,7
38:17:00,12,13
38:18:00,16,2
38:21:00,11,18
38:21:00,10,19
38:23:00,6,7
38:26:00,11,18
38:26:00,22,7
38:26:00,21,8
38:29:00,17,1
38:29:00,16,2
38:30:00,15,8
38:37:00,4,14
38:39:00,22,7
38:39:00,21,8
38:40:00,11,18
38:40:00,10,19
38:46:00,15,8
38:47:00,17,1
38:47:00,16,2
38:50:00,4,14
38:55:00,22,7
38:55:00,11,18
38:57:00,10,19
38:57:00,21,8
38:59:00,17,1
38:59:00,16,2
39:02:00,22,7
39:02:00,21,8
39:05:00,11,18
39:05:00,22,7
39:05:00,21,8
39:06:00,10,19
39:09:00,17,1
39:09:00,15,8
39:14:00,11,18
39:16:00,22,1
39:16:00,10,19
39:20:00,17,1
39:20:00,15,8
39:21:00,16,2
39:21:00,5,13
39:21:00,4,14
39:24:00,22,1
39:28:00,11,18
39:28:00,10,19
39:28:00,21,8
39:32:00,15,8
39:33:00,17,1
39:33:00,16,2
39:35:00,11,18
39:40:00,10,19
39:40:00,20,13
39:40:00,22,7
39:40:00,21,8
39:43:00,17,1
39:46:00,15,8
39:50:00,21,8
39:50:00,22,1
39:51:00,11,18
39:52:00,10,19
39:53:00,22,7
39:55:00,15,8
39:56:00,9,2
39:58:00,17,1
39:58:00,16,2
39:59:00,11,18
40:08:00,10,19
40:06:00,20,14
40:06:00,21,8
40:09:00,22,7
40:08:00,10,19
40:13:00,17,1
40:13:00,16,2
40:13:00,15,8
40:19:00,20,13
40:21:00,21,8
40:21:00,22,7
40:24:00,11,18
40:26:00,10,19
40:27:00,12,13
40:27:00,9,2
40:27:00,16,2
